Team,PlayerName,TotalPoints,RemoteConfigKey
BayernMunich,Ron-Thorben Hoffmann,0,10001
BayernMunich,Manuel Neuer,0,10002
BayernMunich,Sven Ulreich,0,10003
BayernMunich,David Alaba,0,10004
BayernMunich,Jerome Boateng,0,10005
BayernMunich,Alphonso Davies,0,10006
BayernMunich,Lucas Hernandez,0,10007
BayernMunich,Joshua Kimmich,0,10008
BayernMunich,Lars Lukas Mai,0,10009
BayernMunich,Odriozola,0,10010
BayernMunich,Benjamin Pavard,0,10011
BayernMunich,Chris Richards,0,10012
BayernMunich,Niklas Sule,0,10013
BayernMunich,Mickael Cuisance,0,10014
BayernMunich,Leon Goretzka,0,10015
BayernMunich,Javi Martinez,0,10016
BayernMunich,Jamal Musiala,0,10017
BayernMunich,Sarpreet Singh,0,10018
BayernMunich,Thiago,0,10019
BayernMunich,Corentin Tolisso,0,10020
BayernMunich,Paul Will,0,10021
BayernMunich,Jann-Fiete Arp,0,10022
BayernMunich,Oliver Batista-Meier,0,10023
BayernMunich,Kingsley Coman,0,10024
BayernMunich,Leon Dajaku,0,10025
BayernMunich,Serge Gnabry,0,10026
BayernMunich,Woo-yeong Jeong,0,10027
BayernMunich,Robert Lewandowski,0,10028
BayernMunich,Thomas Muller,0,10029
BayernMunich,Ivan Perisic,0,10030
BayernMunich,Kwasi Wriedt,0,10031
BayernMunich,Joshua Zirkzee,0,10032
Dortmund,Roman Burki,0,10033
Dortmund,Marwin Hitz,0,10034
Dortmund,Luca Unbehaun,0,10035
Dortmund,Manuel Akanji,0,10036
Dortmund,Mats Hummels,0,10037
Dortmund,Mateu Morey,0,10038
Dortmund,Thomas Meunier,0,10039
Dortmund,Felix Passlack,0,10040
Dortmund,Lukasz Piszczek,0,10041
Dortmund,Marcel Schmelzer,0,10042
Dortmund,Nico Schulz,0,10043
Dortmund,Dan-Axel Zagadou,0,10044
Dortmund,Jude Bellingham,0,10045
Dortmund,Julian Brandt,0,10046
Dortmund,Emre Can,0,10047
Dortmund,Mahmoud Dahoud,0,10048
Dortmund,Thomas Delaney,0,10049
Dortmund,Raphael Guerreiro,0,10050
Dortmund,Immanuel Pherai,0,10051
